CD_MUN_UOR;Cod IBGE
73950;3152808
74180;3153400
75550;3154002
75960;3154200
76000;3154309
76175;3154457
76630;3154606
77170;3154903
77500;3155405
77550;3155504
77610;3155603
77630;3155702
77650;3155801
77690;3155900
78100;3156304
78610;3156601
78710;3156700
78750;3156809
78800;3156908
79060;3157005
79560;3157203
80440;3157708
80530;3157807
80590;3157906
80700;3158003
80750;3158201
81860;3158300
80930;3159209
81100;3159605
81390;3159803
82430;3159902
82580;3160306
82660;3160405
83150;3160702
83700;3161007
83900;3161106
84310;3161700
84390;3162005
84400;3162104
84590;3162203
85030;3162401
85050;3162500
84890;3162609
84930;3162708
84720;3162807
84850;3162906
85240;3162922
85400;3162948
85705;3162955
86120;3163706
87160;3163904
87050;3164001
87240;3164209
87440;3164407
87550;3164704
87800;3165008
87820;3165107
88010;3165305
88350;3165537
88750;3165701
89420;3166808
89630;3167103
89800;3167202
90070;3167400
90150;3167608
91530;3168002
92510;3168408
92830;3168507
92950;3168606
93640;3168705
93810;3169000
93950;3169208
94400;3169307
94525;3169356
94600;3169406
95150;3169604
95450;3169703
95550;3169901
95570;3170008
95750;3170107
95800;3170206
96100;3170404
97200;3170701
97350;3170800
97420;3170909
97500;3171006
97940;3171204
98150;3171303
98750;3171600
98770;3171808
98780;3171907
98815;3172004
3730;3200102
5000;3200201
5220;3200300
6880;3200409
8280;3200607
11050;3200805
12290;3200904
14550;3201001
16710;3201159
18300;3201209
22610;3201308
23700;3201407
26100;3201506
26400;3201605
26460;3201704
31410;3201902
31930;3202108
37900;3202306
38720;3202405
40220;3202454
40700;3202504
41430;3202603
44050;3202652
44590;3202702
45700;3202801
46470;3202900
47240;3203007
48025;3203056
49620;3203130
53400;3203205
55907;3203320
56145;3203346
56440;3203353
58200;3203403
59380;3203502
60900;3203700
60910;3203809
62900;3203908
65570;3204005
70365;3204104
71500;3204203
74156;3204302
77010;3204351
77520;3204401
80450;3204500
80705;3204559
81300;3204609
83685;3204658
84170;3204708
85470;3204807
86600;3204906
87266;3204955
89110;3205002
90737;3205010
97110;3205036
97630;3205069
98020;3205101
98677;3205176
98680;3205200
98950;3205309
7200;3300100
8970;3300209
9280;3300225
17555;3300233
9690;3300258
12200;3300308
12150;3300407
13710;3300456
15240;3300506
15450;3300605
17700;3300704
18210;3300803
19640;3300902
22340;3300936
26270;3300951
20675;3301009
21500;3301108
22570;3301157
22900;3301207
23570;3301306
26590;3301405
27430;3301504
31770;3301603
31900;3301702
32410;3301801
38330;3301850
41810;3301876
44320;3301900
44600;3302007
45130;3302056
45470;3302106
45750;3302205
46550;3302254
54150;3302403
54450;3302452
54700;3302502
55230;3302601
56380;3302700
57830;3302809
57990;3302858
58090;3302908
58390;3303005
61360;3303104
61730;3303203
61800;3303302
62450;3303401
62550;3303500
65770;3303609
65930;3303708
66520;3303807
67270;3303856
69400;3303906
70250;3303955
70720;3304003
72730;3304102
74790;3304128
74930;3304144
75230;3304151
75950;3304201
77050;3304300
77190;3304409
77320;3304508
77540;3304524
77425;3304557
80710;3304607
82700;3304706
84000;3304755
83800;3304805
84300;3304904
84560;3305000
84840;3305109
86060;3305133
86065;3305158
87010;3305208
88250;3305505
89080;3305554
89950;3305604
91030;3305703
91780;3305752
93040;3305802
94650;3306008
96950;3306107
97240;3306156
97470;3306206
99150;3306305
3600;3500105
4200;3500303
4340;3500402
4300;3500501
4345;3500550
4350;3500600
4390;3500709
5240;3500808
5560;3501004
5570;3501103
6010;3501202
6020;3501301
6030;3501400
6040;3501509
6500;3501608
6540;3501707
6650;3501905
7000;3502101
7090;3502200
7270;3502408
7670;3502507
7790;3502705
8200;3502804
8270;3502903
8850;3503208
8900;3503307
9290;3503406
9380;3503604
9570;3503703
9870;3503802
9900;3503901
10000;3504008
10200;3504107
10300;3504206
10380;3504305
10390;3504404
10400;3504503
10740;3504602
11120;3504800
11230;3504909
11750;3505203
11850;3505302
12700;3505500
12710;3505609
12950;3505708
12990;3505807
13100;3505906
13250;3506003
13300;3506102
14110;3506300
14150;3506359
14330;3506409
14350;3506508
14360;3506607
14950;3506805
15130;3507001
16130;3507407
16300;3507506
16450;3507605
16760;3507753
17010;3507803
17030;3507902
17360;3508009
17380;3508108
17770;3508306
17790;3508405
17870;3508504
18170;3508603
18360;3508702
18500;3508801
18760;3509007
18920;3509205
18950;3509254
19010;3509304
19070;3509403
20000;3509502
20370;3509601
20680;3509700
20710;3509809
20880;3509908
21130;3510005
21140;3510104
21680;3510203
21950;3510401
22150;3510500
22350;3510609
22560;3510708
23400;3510807
23730;3511003
23900;3511102
24560;3511300
24820;3511409
24840;3511508
24930;3511607
25120;3511706
26120;3512001
26760;3512209
26780;3512308
27450;3512407
27660;3512506
28280;3512704
28350;3512803
28480;3513009
28760;3513108
29300;3513405
29500;3513504
29750;3513603
30540;3513702
30690;3513801
30980;3513900
31090;3514106
31750;3514403
31760;3514502
31820;3514601
31920;3514700
31980;3514809
32020;3514908
32120;3515004
32130;3515103
32315;3515152
33163;3515186
33530;3515202
33600;3515350
34010;3515400
34500;3515509
34460;3515608
34560;3515707
35130;3516002
35500;3516200
35590;3516309
35660;3516408
36150;3516606
36400;3516705
36740;3516903
36880;3517000
36970;3517109
38000;3517406
38300;3517505
38320;3517604
38470;3517703
38510;3517802
38700;3518107
38800;3518206
38830;3518305
38900;3518404
38960;3518503
38980;3518602
39060;3518701
39100;3518800
39680;3519006
39770;3519055
39860;3519071
40000;3519105
40100;3519253
40200;3519303
40650;3519402
40830;3519501
41000;3519600
41180;3519709
41380;3519808
41470;3519907
41550;3520004
41600;3520103
41830;3520301
42030;3520400
42025;3520442
42370;3520509
42470;3520707
42880;3520806
43065;3520905
43090;3521002
43100;3521101
43420;3521309
43590;3521408
43790;3521507
44230;3521705
44670;3521804
44990;3521903
45020;3522000
45380;3522109
45630;3522208
45850;3522307
45900;3522406
45910;3522505
46000;3522604
46200;3522703
46250;3522802
46290;3522901
46380;3523107
46500;3523206
46520;3523305
46580;3523404
46590;3523503
46840;3523602
46850;3523701
46950;3523909
47130;3524006
47200;3524105
47450;3524303
47590;3524402
47670;3524501
47890;3524600
48160;3524709
48250;3524808
48390;3525003
48970;3525102
49010;3525201
49150;3525300
49290;3525409
49520;3525508
49670;3525607
49900;3525706
50510;3525805
50530;3525854
50600;3525904
50650;3526001
50700;3526100
52530;3526407
52910;3526704
53000;3526803
53250;3526902
53450;3527108
53680;3527207
53760;3527306
53800;3527405
53820;3527504
53860;3527603
53980;3527801
54290;3528007
54310;3528106
54760;3528403
54780;3528502
55190;3528601
55610;3528700
55630;3528809
55860;3528858
56350;3528908
56500;3529005
56800;3529203
57150;3529302
57510;3529401
58110;3529708
58305;3529807
58380;3529906
58650;3530102
58700;3530201
58750;3530300
58900;3530508
59000;3530607
59030;3530706
59050;3530805
59240;3531100
59500;3531308
59550;3531407
59570;3531506
59870;3531704
59730;3531803
60270;3531902
60510;3532009
61610;3532504
61650;3532603
61770;3532702
62120;3532801
62370;3532900
62500;3533007
62520;3533106
62700;3533403
63150;3533502
63260;3533601
63320;3533700
63600;3533908
63850;3534104
63950;3534302
64050;3534401
64100;3534609
64250;3534708
64404;3534757
64450;3534906
64960;3535002
65260;3535200
65410;3535309
65620;3535408
65900;3535507
65950;3535606
65978;3535705
66320;3535804
66470;3536000
66740;3536208
67470;3536307
67670;3536505
67800;3536604
67950;3536703
68340;3537008
68370;3537107
68415;3537156
68610;3537206
68750;3537305
69100;3537404
69120;3537503
69270;3537602
69510;3537701
69710;3537800
69840;3537909
70000;3538006
70100;3538105
70200;3538204
70500;3538303
70530;3538501
70570;3538600
70650;3538709
70750;3538808
70800;3538907
70870;3539004
71070;3539202
71100;3539301
71130;3539400
71390;3539509
71610;3539608
71660;3539707
71690;3539806
72070;3539905
72150;3540002
72180;3540101
72350;3540200
72690;3540507
73030;3540606
73050;3540705
73510;3540804
73730;3540903
73820;3541000
74070;3541208
74100;3541307
74200;3541406
74300;3541505
74450;3541604
74750;3541703
74960;3541901
75140;3542008
75500;3542206
75670;3542305
75760;3542404
75770;3542503
75800;3542602
76550;3542909
76560;3543006
76580;3543105
76680;3543303
76700;3543402
76880;3543709
76940;3543808
77200;3543907
77620;3544004
77415;3544103
77860;3544202
