CODIGO;FUNCAO;GFM
17278;GER NEGOCIOS UN;9
17279;GER NEGOCIOS UN;9
17280;GER NEGOCIOS UN;9
17281;GER NEGOCIOS UN;9
17282;GER NEGOCIOS UN;9
17283;GER NEGOCIOS UN;9
17285;GER NEGOCIOS UN;10
17300;GERENTE RELAC UN;8
17301;GERENTE RELAC UN;11
17302;GERENTE RELAC UN;11
17303;GERENTE RELAC UN;13
17304;GERENTE RELAC UN;8
17305;GERENTE RELAC UN;11
17306;GERENTE RELAC UN;12
17307;GERENTE RELAC UN;15
17308;GERENTE RELAC UN;16
17309;GERENTE RELAC UN;16
17310;GERENTE RELAC UN;17
17311;GERENTE RELAC UN;16
17312;GERENTE RELAC UN;16
17313;GERENTE RELAC UN;16
17314;GERENTE RELAC UN;16
17315;GERENTE RELAC UN;16
17316;GERENTE RELAC UN;17
17317;GERENTE RELAC UN;18
17318;GERENTE RELAC UN;16
17319;GERENTE RELAC UN;11
17320;GERENTE RELAC UN;15
17321;GERENTE RELAC UN;17
17322;GERENTE RELAC UN;17
17326;GERENTE RELAC UN;15
17327;GERENTE RELAC UN;16
17328;GERENTE RELAC UN;11
17329;GERENTE RELAC UN;13
17330;GERENTE RELAC UN;15
17331;GERENTE RELAC UN;16
17332;GERENTE RELAC UN;17
17333;GER CASH CORPORATE;12
17334;GER CASH LARGE;11
17335;GER CASH MPE;15
17340;GERENTE RELAC UN;11
17341;GERENTE RELAC UN;15
17342;GERENTE RELAC UN;16
17343;GERENTE RELAC UN;16
17344;GERENTE RELAC UN;17
17400;GER SERVICOS UN;18
17401;GER SERVICOS UN;18
17402;GER SERVICOS UN;18
17403;GER SERVICOS UN;18
17404;GER SERVICOS UN;18
17407;SUPERVISOR ATEND UN;18
17510;ASSIST. NEG UN;19
17511;ASSIST. NEG. UN;19
17512;ASSIST. NEG. UN;19
17520;ASSIST OP UN;20
18009;GER RELAC UN TRAINEE;16
18010;GER RELAC UN TRAINEE;17
18016;GER RELAC UN TRAINEE;17
21001;VRC 01;19
21003;VRC 03;17
21005;VRC 05;13
21008;VRC 08;10
21009;VRC 09;9
22008;VR-DSP 08;17
22024;VR-DSP 24;13
31008;PRV DIR EXEC PR;1
31071;PRV ASSESSOR;6
